Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1667.8252
FDW14,OUT017,1357.017
NCN55,OUT010,683.9036
FDQ58,OUT017,2535.9382
FDY38,OUT027,5982.332
FDH56,OUT046,1919.1449
FDL48,OUT018,544.5989
FDC48,OUT027,2094.3179
FDN33,OUT045,1488.3177
FDA36,OUT017,3176.8296
FDT44,OUT017,1926.3849
FDQ56,OUT045,1355.1469
NCC54,OUT019,701.18134
FDU11,OUT049,2119.1375
DRL59,OUT013,899.8559
FDM24,OUT049,2446.4807
FDI57,OUT045,3205.3005
DRC12,OUT018,2887.4253
NCM42,OUT027,2666.4287
FDA46,OUT010,557.51263
FDA31,OUT013,2945.3718
NCJ31,OUT035,4017.1482
FDG52,OUT046,789.6837
NCL19,OUT019,434.38223
FDS10,OUT035,2990.8916
FDX22,OUT010,697.14484
NCF19,OUT035,797.8354
NCE06,OUT046,2648.6172
DRC27,OUT046,4015.8325
FDE21,OUT035,1967.7186
NCR42,OUT019,-7.9882345
FDX51,OUT018,2931.7617
NCR06,OUT018,470.6118
FDU31,OUT027,5522.06
FDU59,OUT017,2655.8572
FDR03,OUT027,5532.252
FDS49,OUT027,2083.2144
FDD48,OUT010,418.06158
NCF18,OUT017,3123.6729
NCD43,OUT027,2539.73
NCD54,OUT018,1621.1919
FDY19,OUT010,393.5972
NCY54,OUT017,2945.3718
NCL19,OUT018,2271.6716
FDP23,OUT010,636.5524
FDC26,OUT013,1926.3849
FDR14,OUT010,115.575584
NCS41,OUT035,3157.8174
FDF41,OUT035,4225.643
FDU34,OUT046,2064.2415
DRH11,OUT046,909.96716
FDM03,OUT013,1702.9304
FDS31,OUT017,2959.496
FDJ20,OUT017,2049.7373
FDV44,OUT027,5076.608
FDG02,OUT049,3212.0522
FDA09,OUT013,3083.0713
FDT04,OUT013,708.5462
FDL58,OUT019,651.6311
FDE52,OUT045,1418.6455
FDW12,OUT035,2525.7463
FDL51,OUT017,3419.1536
NCY42,OUT027,3434.4124
FDR07,OUT017,1475.8512
FDN40,OUT045,2414.2063
FDB35,OUT027,2324.1807
FDA22,OUT017,2691.0798
NCL06,OUT046,4107.9536
FDI35,OUT013,3003.539
NCW42,OUT045,3401.732
NCX06,OUT049,3013.731
FDC37,OUT027,2529.538
FDZ14,OUT018,1783.2032
DRG49,OUT049,4071.549
NCG06,OUT045,4102.304
DRC36,OUT045,2893.598
FDV21,OUT019,359.00845
FDB53,OUT046,2474.4634
DRP47,OUT019,753.1733
FDA14,OUT013,2433.2268
DRC24,OUT035,2522.779
FDW21,OUT018,1554.3307
NCH29,OUT046,1600.347
FDU58,OUT013,3184.7002
FDY27,OUT017,2905.7156
FDV56,OUT035,1714.0343
FDT59,OUT046,4005.1055
FDB23,OUT046,3858.7112
FDR49,OUT045,764.64935
FDB03,OUT010,601.28265
FDN39,OUT045,2772.0405
FDX02,OUT027,5767.884
FDQ16,OUT027,2529.538
FDU35,OUT018,1357.5253
NCT29,OUT013,2095.9458
FDZ27,OUT046,916.4192
FDN57,OUT017,2102.8123
FDA03,OUT018,2144.4958
FDZ36,OUT045,3056.6965
NCU05,OUT013,1317.059
FDT39,OUT018,2236.449
FDK60,OUT017,1555.8151
FDZ25,OUT017,2879.116
FDG12,OUT046,2125.7805
DRB01,OUT019,557.51263
NCC43,OUT027,6174.373
FDX13,OUT019,943.96295
FDM22,OUT049,926.3672
FDJ03,OUT027,1390.8909
FDU14,OUT018,4010.9556
FDB33,OUT010,395.67972
FDP27,OUT046,3150.5774
FDO38,OUT010,239.94046
FDE28,OUT027,6030.808
FDO27,OUT035,1520.5922
DRL23,OUT027,2539.73
FDS28,OUT046,945.19
FDX24,OUT013,1566.919
FDZ02,OUT035,1508.2504
FDL46,OUT045,1520.9067
FDS60,OUT027,4718.347
NCO06,OUT017,684.08185
