Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1698.5026
FDW14,OUT017,1351.9742
NCN55,OUT010,571.5306
FDQ58,OUT017,2572.0967
FDY38,OUT027,6334.8994
FDH56,OUT046,1898.8479
FDL48,OUT018,570.5806
FDC48,OUT027,2208.213
FDN33,OUT045,1451.1567
FDA36,OUT017,2803.2463
FDT44,OUT017,1944.8113
FDQ56,OUT045,1347.0101
NCC54,OUT019,625.5095
FDU11,OUT049,2169.109
DRL59,OUT013,952.1417
FDM24,OUT049,2379.9287
FDI57,OUT045,3566.259
DRC12,OUT018,2775.1045
NCM42,OUT027,2928.0186
FDA46,OUT010,551.2167
FDA31,OUT013,2920.6785
NCJ31,OUT035,3838.6765
FDG52,OUT046,769.16675
NCL19,OUT019,408.54443
FDS10,OUT035,3001.134
FDX22,OUT010,883.1016
NCF19,OUT035,825.07306
NCE06,OUT046,2622.2139
DRC27,OUT046,3982.7554
FDE21,OUT035,1972.092
NCR42,OUT019,22.468801
FDX51,OUT018,2862.1953
NCR06,OUT018,324.12497
FDU31,OUT027,5643.048
FDU59,OUT017,2592.7573
FDR03,OUT027,5620.57
FDS49,OUT027,2218.246
FDD48,OUT010,369.31943
NCF18,OUT017,3124.913
NCD43,OUT027,2705.2773
NCD54,OUT018,1575.2795
FDY19,OUT010,338.808
NCY54,OUT017,2861.5776
NCL19,OUT018,2226.0344
FDP23,OUT010,596.82495
FDC26,OUT013,1870.5496
FDR14,OUT010,116.59134
NCS41,OUT035,3175.4407
FDF41,OUT035,4196.0513
FDU34,OUT046,2045.2999
DRH11,OUT046,938.56506
FDM03,OUT013,1673.8507
FDS31,OUT017,2960.5737
FDJ20,OUT017,2091.4124
FDV44,OUT027,5090.395
FDG02,OUT049,3204.5317
FDA09,OUT013,3315.464
FDT04,OUT013,707.75244
FDL58,OUT019,208.21602
FDE52,OUT045,1318.2377
FDW12,OUT035,2545.5938
FDL51,OUT017,3368.2546
NCY42,OUT027,3278.7148
FDR07,OUT017,1445.8032
FDN40,OUT045,2465.7288
FDB35,OUT027,2516.9663
FDA22,OUT017,2776.752
NCL06,OUT046,4233.865
FDI35,OUT013,2996.4763
NCW42,OUT045,3329.9036
NCX06,OUT049,3210.4575
FDC37,OUT027,2690.611
FDZ14,OUT018,1736.9799
DRG49,OUT049,4157.32
NCG06,OUT045,3992.5396
DRC36,OUT045,2854.3455
FDV21,OUT019,385.72675
FDB53,OUT046,2468.8777
DRP47,OUT019,640.2076
FDA14,OUT013,2460.699
DRC24,OUT035,2584.5164
FDW21,OUT018,1427.0692
NCH29,OUT046,1990.6738
FDU58,OUT013,3130.9253
FDY27,OUT017,2812.9944
FDV56,OUT035,1796.4326
FDT59,OUT046,3993.2957
FDB23,OUT046,3552.2146
FDR49,OUT045,854.57513
FDB03,OUT010,880.3092
FDN39,OUT045,3008.9973
FDX02,OUT027,5819.8867
FDQ16,OUT027,2662.1997
FDU35,OUT018,1417.1086
NCT29,OUT013,2120.908
FDZ27,OUT046,784.7145
FDN57,OUT017,2166.3687
FDA03,OUT018,2048.8079
FDZ36,OUT045,2925.7292
NCU05,OUT013,1280.7509
FDT39,OUT018,2165.115
FDK60,OUT017,1545.8431
FDZ25,OUT017,2920.4727
FDG12,OUT046,1930.2418
DRB01,OUT019,551.2167
NCC43,OUT027,6390.2246
FDX13,OUT019,612.5698
FDM22,OUT049,964.2337
FDJ03,OUT027,1261.9664
FDU14,OUT018,4240.878
FDB33,OUT010,428.64352
FDP27,OUT046,3063.5012
FDO38,OUT010,305.19458
FDE28,OUT027,6387.1147
FDO27,OUT035,1386.2029
DRL23,OUT027,2729.5676
FDS28,OUT046,836.50073
FDX24,OUT013,1522.457
FDZ02,OUT035,1497.7704
FDL46,OUT045,1439.6858
FDS60,OUT027,4811.849
NCO06,OUT017,661.1087
FDO16,OUT035,1519.1221
FDC60,OUT049,1718.667
FDA48,OUT018,3275.0452
FDZ36,OUT027,5307.5273
FDK27,OUT045,2120.057
FDW23,OUT018,553.0128
FDM14,OUT018,1647.5994
FDM14,OUT013,1711.7767
FDW60,OUT018,2776.9248
FDE21,OUT013,1972.092
NCM42,OUT035,1726.1279
FDY59,OUT010,276.18604
DRI49,OUT049,1190.9543
FDT28,OUT019,374.34207
FDQ22,OUT018,514.22614
FDR60,OUT049,1280.0787
FDC50,OUT019,366.55853
FDV24,OUT013,2487.4165
DRF48,OUT010,736.79095
FDQ47,OUT046,809.25604
DRN36,OUT049,1544.5162
NCY06,OUT035,2120.908
FDE52,OUT035,1370.6921
NCB54,OUT045,2057.1687
NCF31,OUT035,2520.0283
FDJ08,OUT027,5091.337
NCC07,OUT017,1659.6814
NCD19,OUT027,1693.8591
FDL46,OUT049,1920.7034
FDM20,OUT045,4165.987
NCI06,OUT010,501.56006
DRM11,OUT035,4070.853
NCH07,OUT018,2374.574
FDS23,OUT013,2164.0906
FDO49,OUT018,591.14166
FDS35,OUT049,1045.6008
DRK39,OUT045,1272.6814
DRI39,OUT049,934.1691
FDV04,OUT017,2671.2202
NCN14,OUT035,3161.424
FDH08,OUT013,4081.001
FDS20,OUT046,3203.3838
FDV40,OUT049,1312.1205
FDZ48,OUT010,256.2258
FDS24,OUT027,2333.3057
FDK44,OUT049,2956.4866
FDS48,OUT045,2814.7634
FDK26,OUT010,587.3225
FDD23,OUT045,3094.7432
NCH54,OUT017,2761.7712
NCP14,OUT010,297.72028
FDM60,OUT010,54.83931
FDV24,OUT017,2495.1824
FDH08,OUT018,3558.448
FDS12,OUT027,3237.327
FDR39,OUT027,4775.3057
FDP12,OUT027,1079.9377
DRF60,OUT027,6415.4937
FDC09,OUT035,1680.231
FDF50,OUT018,2971.9375
FDG28,OUT035,4107.4883
NCE19,OUT017,994.82544
NCM53,OUT010,298.99564
NCN18,OUT049,1893.4203
FDF32,OUT035,3196.0132
FDF11,OUT013,4117.7485
DRI59,OUT049,3943.0923
NCG54,OUT035,2808.503
FDM44,OUT046,1645.445
FDT57,OUT018,3581.7708
FDV24,OUT046,2606.9893
FDI50,OUT019,623.2513
FDS09,OUT035,832.8382
NCC31,OUT027,3730.6396
FDQ07,OUT019,599.69836
FDC22,OUT017,3190.3616
FDZ56,OUT046,2879.5447
FDZ40,OUT019,149.81606
FDS46,OUT027,3045.3164
DRD24,OUT045,2162.665
FDV45,OUT017,3181.4282
FDL26,OUT045,2409.604
FDA56,OUT018,1844.2166
FDN27,OUT046,1588.1239
FDM20,OUT049,4244.3247
FDO16,OUT017,1478.9325
FDL03,OUT035,3198.844
FDE58,OUT046,1849.2894
FDI02,OUT027,3059.968
NCC55,OUT019,57.51274
FDR03,OUT018,3400.351
FDB14,OUT017,1502.891
FDR45,OUT013,4207.8794
NCN07,OUT017,2205.8552
FDM51,OUT019,324.2042
FDT52,OUT027,6313.3965
FDL26,OUT046,2426.0498
NCZ42,OUT046,4090.2195
DRI47,OUT019,454.80252
FDW40,OUT013,2158.5063
FDN34,OUT046,3171.9514
FDS01,OUT035,3032.4407
NCG55,OUT045,1889.987
FDC11,OUT035,1367.1022
FDX35,OUT018,3705.2944
NCB06,OUT046,2641.9446
FDR09,OUT019,659.45654
FDC53,OUT017,1552.7007
FDY45,OUT013,4772.466
FDA22,OUT010,456.47736
FDE02,OUT035,1554.9569
FDW21,OUT045,1506.8876
FDV34,OUT046,1131.7024
FDS59,OUT049,1808.1234
NCW17,OUT017,2163.247
NCK54,OUT046,1924.2642
FDG17,OUT019,677.8411
FDG35,OUT017,3302.1187
FDD08,OUT010,28.35541
NCO07,OUT017,3693.5352
FDJ10,OUT010,487.64368
FDW36,OUT017,1681.6167
FDW21,OUT010,486.98663
FDY19,OUT017,1921.0297
DRE03,OUT013,738.4958
NCC55,OUT049,730.8302
FDH52,OUT010,169.74431
FDO09,OUT017,3943.2153
FDU43,OUT045,3867.8777
FDX09,OUT010,432.6734
FDH40,OUT019,290.34085
FDW58,OUT017,1713.9609
FDC47,OUT017,3890.0679
NCR41,OUT035,1499.7244
DRG49,OUT035,4150.881
FDC52,OUT027,3716.8608
FDY13,OUT046,1123.3524
FDY35,OUT013,879.8348
FDI35,OUT017,3310.5586
NCU18,OUT049,2193.357
FDY33,OUT018,2374.574
FDC15,OUT027,3991.6848
FDU01,OUT049,3438.4531
NCU42,OUT046,2888.928
NCV29,OUT018,2684.4922
NCY30,OUT017,3175.0327
FDQ46,OUT049,1891.9695
FDG58,OUT027,3683.611
FDK33,OUT017,3555.1519
NCD07,OUT045,1873.3062
NCX29,OUT027,3683.611
NCT42,OUT013,2492.264
DRN59,OUT035,813.20593
FDI44,OUT035,1273.6396
FDA45,OUT049,2522.584
FDP31,OUT045,652.1002
FDY01,OUT046,1898.8479
FDT09,OUT018,1910.2264
DRH03,OUT027,2606.6587
FDA36,OUT018,2463.89
NCF31,OUT017,2527.7942
FDG14,OUT049,2526.4675
FDG28,OUT027,6313.3965
FDU14,OUT049,3877.8367
FDY47,OUT019,360.32254
