Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1990.7421167215944
FDW14,OUT017,1566.2337490953141
NCN55,OUT010,2063.9245946888914
FDQ58,OUT017,2754.3712163890305
FDY38,OUT027,5157.694860463991
FDH56,OUT046,2050.1128491327872
FDL48,OUT018,657.3679711722398
FDC48,OUT027,2864.4267804888404
FDN33,OUT045,1601.5082525461876
FDA36,OUT017,3256.9704813068856
FDT44,OUT017,2133.615286433913
FDQ56,OUT045,1475.4824472802684
NCC54,OUT019,2035.1439697039423
FDU11,OUT049,2181.744484711442
DRL59,OUT013,1117.3288997272175
FDM24,OUT049,2670.778860055041
FDI57,OUT045,3621.1599527108265
DRC12,OUT018,2906.190471630045
NCM42,OUT027,3333.219444608956
FDA46,OUT010,1249.4284746280064
FDA31,OUT013,3029.8712120755117
NCJ31,OUT035,3992.225134087661
FDG52,OUT046,882.4255289159846
NCL19,OUT019,517.0233410846413
FDS10,OUT035,3126.602115510337
FDX22,OUT010,1599.012406022881
NCF19,OUT035,1034.7360775764355
NCE06,OUT046,2726.4927741094216
DRC27,OUT046,3942.0079395802095
FDE21,OUT035,2158.132889136563
NCR42,OUT019,-1249.4543602775666
FDX51,OUT018,3004.5861707337717
NCR06,OUT018,611.2391713799298
FDU31,OUT027,5072.9186692223775
FDU59,OUT017,2830.6941764398507
FDR03,OUT027,4830.271613673973
FDS49,OUT027,2874.6521227100093
FDD48,OUT010,55.78140043588428
NCF18,OUT017,3288.2500339436847
NCD43,OUT027,3239.630344975696
NCD54,OUT018,2183.616679479477
FDY19,OUT010,107.58757052414148
NCY54,OUT017,2975.2736811591785
NCL19,OUT018,2221.2137156464705
FDP23,OUT010,1679.8296416846424
FDC26,OUT013,2028.8420108203136
FDR14,OUT010,-1084.0962672189671
NCS41,OUT035,3209.8821882592238
FDF41,OUT035,4138.534755617256
FDU34,OUT046,2117.802145606809
DRH11,OUT046,1115.3779724164124
FDM03,OUT013,1874.7236519006256
FDS31,OUT017,3168.6325955333523
FDJ20,OUT017,2188.9894471624175
FDV44,OUT027,4603.935973009946
FDG02,OUT049,3347.613325084043
FDA09,OUT013,3117.049343793784
FDT04,OUT013,782.1621428638537
